,Unnamed: 0,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,Approx Gpu,Model_x,Benchmark_x,Model_y,Benchmark_y,Cpu percentile,Gpu percentile,Weight percentile,Ram percentile,Size percentile,Pixels,Pixel percentile,Price percentile
25,446,Asus,VivoBook Max,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,4.0,256GB SSD,Intel HD Graphics 620,Linux,2.0,559.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.43981042654028435,0.11137440758293839,0.5976303317535545,1920,0.5857819905213271,0.11042654028436019
26,457,HP,15-bs024nv (i5-7200U/8GB/128GB/W10),Notebook,15.6,1366x768,Core i5 7200U,8.0,128GB SSD,Intel HD Graphics 620,Windows 10,1.91,589.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.38862559241706157,0.514218009478673,0.5976303317535545,1366,0.12132701421800947,0.13222748815165877
27,484,Lenovo,Thinkpad T470,Notebook,14.0,Full HD 1920x1080,Core i5 7200U,8.0,180GB SSD,Intel HD Graphics 620,Windows 10,1.7,1364.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.2909952606635071,0.514218009478673,0.25687203791469193,1920,0.5857819905213271,0.6672985781990523
28,486,Toshiba,Portege X30-D-10J,Notebook,13.3,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.05,1672.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.007582938388625592,0.514218009478673,0.10236966824644549,1920,0.5857819905213271,0.7800947867298578
29,497,Lenovo,Thinkpad E570,Notebook,15.6,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Nvidia GeForce 940MX,Windows 10,2.3,1011.99,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.7018957345971565,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.46161137440758293
30,506,Lenovo,ThinkPad L570,Notebook,15.6,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.3,911.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.7018957345971565,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.38862559241706157
31,519,Dell,Vostro 5568,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,1TB HDD,Intel HD Graphics 620,Windows 10,2.18,836.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.5606635071090047,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.32322274881516583
32,535,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,4.0,500GB HDD,AMD Radeon R5 M430,Windows 10,2.3,585.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.7018957345971565,0.11137440758293839,0.5976303317535545,1920,0.5857819905213271,0.12748815165876778
33,580,Lenovo,Thinkpad E570,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.3,830.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.7018957345971565,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.3194312796208531
34,597,Asus,TP501UA-CJ131T (i5-7200U/8GB/1TB/W10),2 in 1 Convertible,15.6,Touchscreen 1366x768,Core i5 7200U,8.0,1TB HDD,Intel HD Graphics 520,Windows 10,2.2,739.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.6189573459715639,0.514218009478673,0.5976303317535545,1366,0.12132701421800947,0.24739336492890995
35,623,Dell,Vostro 3568,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,4.0,128GB SSD,AMD Radeon R5 M420,Linux,2.18,569.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.5606635071090047,0.11137440758293839,0.5976303317535545,1920,0.5857819905213271,0.11706161137440758
36,630,Fujitsu,LifeBook A557,Notebook,15.6,1366x768,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.2,799.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.6189573459715639,0.514218009478673,0.5976303317535545,1366,0.12132701421800947,0.2947867298578199
37,634,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,4.0,128GB SSD,Intel HD Graphics 620,No OS,2.2,468.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.6189573459715639,0.11137440758293839,0.5976303317535545,1920,0.5857819905213271,0.05260663507109005
